framenum	recvswapchain	sendcamera	alphaadd	copyintoswap	netframetime	fps	mbps
658	13.861000	0.191000	3.756000	1.298000	21.294001	46.961582	123.390015
659	12.997000	1.043000	3.708000	1.860000	21.650999	46.187244	127.266449
660	11.533000	0.242000	3.707000	5.230000	23.746000	42.112354	139.098938
661	8.836000	0.446000	3.698000	5.374000	21.125999	47.335037	169.333939
662	10.401000	2.820000	2.408000	8.250000	22.066999	45.316536	178.951447
663	11.162000	0.337000	1.675000	5.662000	20.930000	47.778309	144.259201
664	12.310974	0.179000	3.688000	3.937000	21.932983	45.593433	139.954620
665	11.936000	0.943000	3.722000	4.106000	21.274000	47.005733	154.604935
666	12.346000	0.625000	7.456000	0.388000	22.198000	45.049103	139.943817
667	10.389000	0.554000	3.737000	2.750000	20.895000	47.858337	138.973083
668	13.716000	0.198000	3.706000	2.242000	21.424000	46.676624	130.436630
669	10.797000	0.204000	3.732000	3.550000	21.608000	46.279156	142.894791
670	9.486000	0.185000	3.701000	5.695000	22.332001	44.778790	165.800140
671	7.733000	0.221000	3.715000	7.339000	21.474001	46.567940	201.090973
672	9.149000	2.042000	1.768000	9.266000	21.615999	46.262032	196.252136
673	7.570000	0.184000	3.696000	5.944000	21.141001	47.301449	186.634247
674	6.389000	0.196000	3.715000	9.701000	22.372000	44.698730	294.723358
675	4.974000	0.706000	3.885000	9.202000	21.009001	47.598648	300.048828
676	5.355000	4.161000	3.712000	8.560000	21.941999	45.574699	258.513306
677	9.830000	0.185000	3.753000	5.400000	20.462999	48.868690	184.763443
678	10.409000	1.291000	3.701000	6.161000	22.247000	44.949883	177.794937
679	8.149000	0.187000	3.704000	6.212000	22.113001	45.222267	187.717682
680	7.329000	0.219000	3.758000	6.684000	20.895000	47.858337	213.605286
681	8.607000	0.238000	3.744000	6.035000	21.738001	46.002392	190.157852
682	4.781000	0.226000	3.736000	9.642000	22.191000	45.063313	282.439484
683	5.569000	0.172000	3.759000	10.042000	20.573999	48.605038	333.490143
684	2.804000	0.179000	3.687000	9.760000	21.260000	47.036690	319.279388
685	6.014000	0.449000	3.692000	8.648000	22.760000	43.936729	249.081070
686	3.648000	0.231000	3.730000	10.532000	21.528000	46.451134	381.931152
687	3.540000	0.166000	3.701000	9.635000	20.193001	49.522110	328.849243
688	6.277000	4.113000	3.695000	9.451000	20.773001	48.139412	298.204163
689	11.779000	0.319000	7.418000	0.573000	21.836000	45.795933	158.309708
690	8.864000	0.242000	3.693000	7.905000	22.781000	43.896229	217.179214
691	8.112000	0.346000	7.397000	2.811000	21.086000	47.424831	210.964844
692	7.348000	0.209000	3.704000	6.678000	20.740999	48.213684	203.017929
693	6.747000	0.666000	3.754000	5.406000	21.075001	47.449585	177.264862
694	11.312000	0.373000	7.397000	0.793000	22.478001	44.487942	146.100189
